Worker_ID,Age,Industry,Job_Role,Years_Experience,AI_Tools_Used_Daily,AI_Hours_Per_Day,AI_Adoption_Level,Perceived_Usefulness,Skill_Anxiety_Score,Work_Hours_Per_Week,Meetings_Per_Week,Deep_Work_Hours,Interruptions_Per_Day,Sleep_Hours_Per_Night,Physical_Activity_Days,Stress_Level,Job_Satisfaction,Cognitive_Load_Score,Remote_Work_Ratio,Productivity_Score,Burnout_Label
68,22,Legal,Paralegal,0.2,7,3.6,2,5,9,49.7,13,2.6,9,6.6,4,6,5,4,0.39,63.0,No Risk
69,38,Technology,DevOps Engineer,16.2,8,5.0,3,7,3,48.8,13,1.6,18,5.7,3,5,5,6,0.53,57.6,No Risk
70,39,Creative,Copywriter,17.9,2,2.1,1,5,5,59.4,7,4.2,9,6.8,1,9,3,5,0.07,64.8,At Risk
71,52,Education,Professor,31.1,2,1.8,1,6,4,57.0,15,2.0,17,4.9,6,6,4,6,0.29,57.2,At Risk
72,36,Technology,Software Engineer,12.5,4,4.4,2,6,4,46.3,5,3.3,17,7.2,7,4,5,5,0.81,67.6,No Risk
73,42,Technology,Product Manager,19.3,8,5.1,3,7,3,70.2,13,3.7,21,5.8,2,7,7,8,0.32,57.5,At Risk
74,33,Legal,Compliance Manager,7.5,0,0.2,0,1,6,43.0,9,2.0,15,5.4,3,5,1,3,0.66,50.8,No Risk
75,37,Education,Academic Advisor,13.6,4,4.9,2,8,5,50.1,12,4.4,17,6.0,2,6,8,7,0.48,66.6,No Risk
76,48,Education,Researcher,26.5,5,3.1,2,10,5,58.1,7,3.4,13,5.9,0,6,6,1,0.35,73.8,No Risk
77,22,Education,Curriculum Designer,0.0,4,4.1,2,5,10,50.0,8,2.6,15,5.7,2,7,4,3,0.17,52.2,At Risk
78,38,Technology,QA Engineer,18.7,6,5.4,3,9,5,46.4,8,3.7,13,6.8,2,3,7,5,0.71,84.0,No Risk
79,52,Finance,Portfolio Manager,31.8,7,3.1,2,10,4,50.1,11,3.9,19,6.5,0,7,6,5,0.77,83.3,No Risk
80,37,Technology,DevOps Engineer,12.1,4,4.9,2,8,6,47.0,10,2.2,16,5.8,1,5,6,5,0.69,75.4,No Risk
81,48,Legal,Contract Specialist,26.8,5,3.3,2,8,2,30.0,7,2.9,13,7.3,4,3,6,1,0.79,85.2,No Risk
82,30,Healthcare,Physician,5.7,5,4.1,2,9,6,55.0,8,4.2,11,6.8,2,6,6,6,0.07,77.4,No Risk
83,35,Finance,Compliance Officer,15.9,2,1.8,1,5,4,40.5,8,4.0,15,5.8,3,5,4,5,0.6,65.4,No Risk
84,35,Technology,Product Manager,10.6,7,5.1,3,8,3,39.3,11,1.8,15,5.2,3,5,5,4,0.66,80.0,No Risk
85,22,Finance,Financial Analyst,0.0,0,2.9,0,5,10,53.6,16,2.2,12,7.0,4,10,3,4,0.77,48.2,At Risk
86,26,Finance,Compliance Officer,6.2,4,3.8,2,5,2,50.0,7,4.7,16,6.3,7,4,8,3,0.65,78.3,No Risk
87,26,Education,Researcher,5.3,5,3.3,2,5,5,52.4,11,0.5,14,6.5,7,5,5,6,0.3,59.7,No Risk
88,42,Healthcare,Health Admin,20.8,2,0.5,0,3,4,43.0,9,3.9,10,5.4,1,3,3,3,0.24,64.0,No Risk
89,42,Legal,Contract Specialist,19.0,3,0.9,0,5,7,45.8,7,5.0,22,7.3,3,6,5,3,0.69,56.7,No Risk
90,38,Finance,Financial Analyst,12.9,3,2.0,1,8,5,43.1,10,3.2,21,7.5,5,6,8,5,0.78,69.3,No Risk
91,42,Technology,Software Engineer,16.8,2,3.4,1,5,3,38.6,6,2.1,14,6.9,5,2,5,2,0.83,73.6,No Risk
92,34,Education,Professor,14.3,6,6.1,3,10,2,54.0,14,3.2,7,6.3,1,6,8,4,0.05,76.6,No Risk
93,45,Education,Curriculum Designer,19.4,6,4.6,3,10,1,50.4,8,3.6,9,5.9,3,2,7,2,0.13,89.2,No Risk
94,35,Healthcare,Health Admin,11.1,1,1.2,0,4,9,57.8,8,0.8,9,4.0,1,8,4,5,0.65,36.8,At Risk
95,35,Education,Professor,14.4,3,3.8,1,7,1,27.6,18,0.5,12,8.5,5,1,7,3,0.27,77.8,No Risk
96,33,Healthcare,Radiologist,12.8,7,4.8,3,10,3,57.9,9,2.2,8,6.6,2,5,8,4,0.25,65.2,No Risk
97,40,Healthcare,Health Admin,20.0,2,1.7,1,5,5,42.4,6,0.7,8,5.6,3,5,5,1,0.61,60.7,No Risk
98,32,Finance,Accountant,13.7,6,4.5,3,10,6,44.6,4,3.3,20,6.2,2,6,5,5,0.72,52.3,No Risk
99,43,Technology,QA Engineer,17.5,2,1.6,1,9,7,50.2,6,2.1,19,5.4,4,8,5,5,0.42,61.3,At Risk
100,26,Technology,Software Engineer,4.4,6,7.1,3,8,4,41.4,7,2.8,13,6.9,4,3,6,6,0.4,59.5,No Risk
101,26,Technology,Product Manager,3.1,6,3.4,2,8,6,43.4,11,2.4,18,5.3,4,9,5,5,0.79,64.8,At Risk
102,40,Healthcare,Nurse,15.5,3,0.4,0,3,5,48.8,6,3.4,14,6.6,3,6,1,4,0.07,60.9,At Risk
103,34,Finance,Compliance Officer,10.1,6,1.7,1,9,2,41.2,8,2.8,17,7.4,2,5,6,4,0.36,89.6,No Risk
104,31,Healthcare,Nurse,10.3,7,3.1,2,6,3,41.4,11,0.9,9,7.5,1,5,7,2,0.3,57.6,No Risk
105,42,Creative,Art Director,19.5,4,2.1,1,6,2,39.8,3,3.6,13,6.3,1,4,6,1,0.15,80.1,No Risk
106,30,Technology,Product Manager,8.3,5,4.0,2,6,5,49.8,17,4.1,19,7.9,2,7,5,2,0.89,73.6,No Risk
107,33,Finance,Financial Analyst,12.0,2,2.1,1,3,4,35.9,16,3.4,14,6.6,6,5,5,2,0.4,79.6,No Risk
108,46,Education,Academic Advisor,25.7,2,1.5,1,2,4,51.5,6,3.3,9,5.6,6,4,3,3,0.48,62.8,No Risk
109,47,Technology,Data Scientist,22.9,4,4.3,2,8,5,63.9,9,3.7,12,5.2,4,6,9,4,0.6,77.2,No Risk
110,48,Technology,QA Engineer,25.0,5,5.1,2,9,4,47.0,8,6.8,18,5.6,3,6,5,3,0.68,88.4,No Risk
111,33,Finance,Compliance Officer,11.1,4,2.0,1,6,6,49.0,11,2.4,20,5.2,2,6,5,4,0.46,52.3,No Risk
112,45,Technology,DevOps Engineer,22.9,4,3.4,2,8,7,49.1,11,3.4,24,8.1,1,6,6,6,0.76,66.1,No Risk
113,27,Creative,Copywriter,2.1,6,3.2,2,7,5,39.5,9,3.6,12,6.8,4,8,3,3,0.25,62.9,At Risk
114,28,Legal,Lawyer,7.8,9,4.8,3,10,1,51.0,11,2.2,13,7.3,4,10,7,8,0.5,50.0,At Risk
115,22,Healthcare,Health Admin,0.0,7,5.3,3,10,10,50.3,7,4.7,11,6.3,3,9,6,3,0.22,69.8,At Risk
116,48,Legal,Paralegal,27.5,1,1.2,0,4,4,58.2,9,1.1,14,6.1,2,7,1,3,0.64,48.1,At Risk
117,28,Legal,Compliance Manager,7.9,2,1.8,1,6,6,47.5,15,1.1,13,5.4,4,7,4,5,0.97,47.7,At Risk
118,34,Technology,Software Engineer,10.7,1,0.3,0,3,6,53.9,7,2.3,14,5.7,5,5,5,2,0.5,64.5,No Risk
119,28,Legal,Contract Specialist,4.9,0,0.5,0,8,4,47.4,7,1.7,8,7.2,3,5,4,3,0.66,64.0,No Risk
120,41,Healthcare,Health Admin,19.2,3,1.6,1,8,3,41.4,4,3.4,11,6.2,4,4,10,2,0.48,76.6,No Risk
121,32,Legal,Lawyer,9.0,2,3.6,1,6,7,36.0,15,1.3,19,5.8,1,7,2,6,0.79,47.4,At Risk
122,25,Legal,Paralegal,0.0,3,2.5,1,6,10,48.0,10,3.4,12,6.9,3,8,1,4,0.76,65.0,At Risk
123,39,Finance,Accountant,14.3,3,2.0,1,5,5,51.6,8,2.9,14,8.6,5,5,2,4,0.58,70.6,No Risk
124,24,Technology,QA Engineer,0.4,2,1.6,1,5,10,44.8,3,3.6,14,5.8,3,9,4,2,0.73,53.6,At Risk
125,28,Technology,QA Engineer,7.9,2,1.5,0,4,6,38.9,7,2.4,21,6.3,6,5,5,3,0.76,64.8,No Risk
126,22,Finance,Compliance Officer,0.0,3,2.0,1,3,10,56.8,9,3.8,18,5.3,2,8,2,6,0.66,49.4,At Risk
127,24,Legal,Lawyer,4.4,4,4.3,2,8,4,43.5,15,0.6,10,6.6,3,6,5,5,0.38,56.7,No Risk
128,36,Legal,Compliance Manager,14.1,2,1.5,1,6,4,36.3,7,2.2,19,7.1,3,8,3,4,0.64,65.1,At Risk
129,22,Technology,Data Scientist,0.1,3,1.8,1,6,10,45.0,10,3.2,19,6.9,6,8,5,6,0.49,69.9,At Risk
130,23,Healthcare,Radiologist,1.6,0,0.8,0,4,10,44.6,8,1.2,21,5.9,4,8,2,2,0.59,49.7,At Risk
131,35,Finance,Accountant,10.7,5,3.5,2,8,6,41.1,10,2.4,12,6.1,3,6,7,7,0.5,62.6,No Risk
132,31,Technology,QA Engineer,9.7,6,4.8,3,10,4,47.8,7,4.6,18,6.4,6,4,10,4,0.49,77.9,No Risk
133,51,Technology,Software Engineer,30.7,0,0.2,0,4,6,30.4,8,3.9,10,6.8,4,5,7,1,0.77,64.3,No Risk
134,50,Finance,Risk Manager,30.9,5,3.3,2,10,2,50.4,11,2.2,16,6.6,4,3,8,4,0.74,82.2,No Risk
135,28,Creative,UX Designer,5.9,5,4.1,2,9,6,38.6,7,4.6,19,6.5,2,6,6,6,0.05,70.9,No Risk
136,39,Finance,Risk Manager,16.3,4,3.2,2,10,4,43.9,11,3.3,18,7.2,5,4,5,4,0.33,93.6,No Risk
137,41,Healthcare,Health Admin,15.5,8,5.2,3,10,4,43.1,8,2.8,14,4.8,7,6,6,6,0.51,76.1,No Risk
138,30,Education,Curriculum Designer,5.1,7,4.9,3,9,4,59.7,7,3.9,7,5.2,5,4,5,6,0.32,76.8,No Risk
139,23,Finance,Risk Manager,2.2,2,1.2,0,4,7,41.6,8,4.9,14,5.4,1,5,4,4,0.66,51.7,No Risk
140,35,Creative,UX Designer,12.1,4,1.7,1,5,6,38.8,8,4.4,7,7.0,6,4,7,3,0.3,71.4,No Risk
141,34,Creative,UX Designer,13.3,4,3.3,2,8,6,63.7,11,3.1,11,5.6,1,9,6,4,0.13,75.6,At Risk
142,32,Technology,Software Engineer,7.8,7,4.9,3,10,5,62.9,10,5.1,17,7.3,3,5,9,5,0.82,82.3,No Risk
143,39,Healthcare,Medical Researcher,17.7,8,4.6,3,9,4,55.2,9,4.6,9,7.9,4,2,10,3,0.29,88.7,No Risk
144,29,Finance,Risk Manager,6.0,3,2.0,1,5,4,50.0,8,1.1,17,6.1,7,4,5,5,0.56,51.1,No Risk
145,26,Finance,Risk Manager,6.0,3,1.9,1,7,5,38.6,4,2.2,15,6.4,0,9,4,4,0.65,54.6,At Risk
146,36,Technology,Data Scientist,13.7,7,8.0,3,8,3,57.2,4,2.5,13,5.5,2,6,4,8,0.41,58.7,At Risk
147,38,Healthcare,Nurse,14.9,2,2.2,1,4,6,48.4,12,1.5,14,8.1,1,4,4,4,0.17,66.5,No Risk
148,26,Healthcare,Radiologist,3.7,4,3.1,2,9,4,41.9,7,2.0,13,7.4,6,5,7,3,0.38,71.8,No Risk
149,42,Technology,QA Engineer,20.6,5,3.5,2,4,3,48.1,12,2.5,12,7.3,2,4,1,4,0.7,71.4,No Risk
150,22,Technology,Software Engineer,1.2,3,1.7,0,3,9,40.3,6,3.3,15,7.3,3,7,5,2,0.6,51.2,No Risk
151,30,Creative,Brand Strategist,11.9,6,6.1,3,10,5,36.3,13,2.6,17,7.1,5,5,7,5,0.26,77.4,No Risk
152,33,Technology,Data Scientist,8.5,7,7.1,3,6,4,59.4,8,3.1,17,6.4,2,6,5,6,0.52,49.8,No Risk
153,30,Technology,Data Scientist,5.7,5,4.8,2,4,6,32.5,8,3.8,14,7.2,6,4,5,6,0.32,70.5,No Risk
154,30,Healthcare,Radiologist,9.8,5,3.2,2,5,2,64.3,5,4.2,10,7.1,1,8,6,3,0.41,70.1,No Risk
155,50,Creative,Video Producer,25.6,4,3.0,2,3,5,45.3,4,3.5,10,6.2,4,5,3,4,0.42,60.6,No Risk
156,28,Technology,Software Engineer,2.6,3,2.3,1,10,4,49.1,10,3.0,13,6.8,3,7,5,4,0.58,72.5,No Risk
157,55,Education,Curriculum Designer,30.7,1,1.0,0,4,9,48.3,15,0.5,14,6.6,1,7,3,4,0.24,40.0,At Risk
158,38,Education,Professor,14.3,1,0.1,0,3,7,36.1,12,2.9,10,7.3,7,4,5,3,0.12,45.5,No Risk
159,36,Technology,Software Engineer,11.1,9,4.6,3,7,4,46.8,7,4.1,13,7.0,4,4,8,3,0.34,77.0,No Risk
160,39,Education,Professor,16.7,4,4.1,1,10,2,44.7,13,4.3,7,6.1,2,6,5,5,0.4,82.8,No Risk
161,55,Finance,Accountant,33.8,1,2.3,0,5,3,39.2,12,2.8,14,6.0,3,1,9,2,0.5,73.6,No Risk
162,27,Healthcare,Physician,6.8,2,1.6,1,6,8,53.8,11,3.5,8,5.5,4,7,5,3,0.05,62.0,No Risk
163,26,Healthcare,Nurse,2.6,2,0.2,0,6,5,34.3,12,0.5,9,7.1,1,5,4,2,0.2,58.9,No Risk
164,29,Healthcare,Physician,3.2,3,1.8,0,5,7,45.6,5,1.5,16,4.7,0,6,5,2,0.48,47.2,No Risk
165,35,Technology,Data Scientist,16.2,4,3.5,2,7,7,33.3,6,3.9,17,7.1,0,5,5,4,0.69,77.8,No Risk
166,22,Legal,Contract Specialist,0.5,5,4.3,2,7,9,48.9,8,3.7,16,7.4,3,7,6,5,0.23,75.4,At Risk
167,35,Finance,Accountant,11.6,8,3.4,2,7,2,48.4,6,2.8,13,5.4,2,5,5,3,0.38,69.3,No Risk
168,49,Technology,Software Engineer,25.2,6,4.1,2,6,1,62.3,8,2.2,17,5.5,0,5,5,6,0.71,62.3,No Risk
169,36,Technology,Data Scientist,15.0,4,3.4,2,10,5,42.1,7,3.0,13,6.5,1,6,7,4,0.84,79.5,No Risk
170,33,Healthcare,Nurse,13.0,5,3.3,1,5,3,44.1,5,1.4,14,6.9,5,3,7,7,0.13,66.2,No Risk
171,30,Education,Teacher,7.2,4,3.3,2,10,4,45.1,9,2.0,13,8.3,3,7,4,1,0.42,93.7,No Risk
172,42,Technology,Data Scientist,18.7,3,2.1,1,4,3,59.0,11,3.4,17,5.9,2,8,5,3,0.82,52.3,No Risk
173,28,Healthcare,Medical Researcher,6.9,3,2.1,1,5,4,40.9,6,1.3,9,4.9,2,7,2,2,0.59,59.5,No Risk
174,50,Technology,QA Engineer,30.0,6,3.8,2,7,3,48.8,8,4.5,12,6.0,5,3,8,2,0.58,88.9,No Risk
175,50,Healthcare,Nurse,27.2,4,1.8,1,4,4,43.2,10,2.8,8,5.5,4,5,4,3,0.04,63.0,No Risk
176,37,Technology,DevOps Engineer,16.9,3,2.3,1,5,3,44.3,6,3.7,18,7.4,3,6,7,5,0.2,53.5,No Risk
177,35,Education,Curriculum Designer,12.7,1,0.1,0,5,6,44.1,9,2.4,13,5.9,2,5,4,5,0.28,54.1,No Risk
178,43,Finance,Accountant,18.0,6,4.8,2,10,5,55.8,10,3.0,16,5.4,4,9,4,6,0.19,81.4,At Risk
179,44,Creative,Video Producer,20.3,5,3.1,2,9,3,58.6,10,1.9,7,4.4,2,5,5,5,0.13,64.5,No Risk
180,29,Technology,Software Engineer,8.4,2,3.0,1,4,5,34.4,9,4.4,24,5.6,4,7,4,5,0.63,65.7,At Risk
181,31,Finance,Accountant,11.2,8,5.4,3,9,2,54.7,10,3.7,16,5.8,1,7,6,6,0.6,51.9,No Risk
182,24,Technology,Product Manager,1.2,6,3.3,2,7,5,57.0,13,5.3,19,7.3,0,10,6,4,0.45,63.5,At Risk
183,38,Creative,UX Designer,16.8,8,4.8,3,10,4,51.2,8,4.8,11,5.8,3,8,6,4,0.3,76.5,No Risk
184,40,Legal,Lawyer,15.9,7,5.7,2,10,5,56.5,16,1.9,7,7.5,0,7,8,3,0.96,70.7,No Risk
185,24,Technology,Software Engineer,0.0,3,1.7,1,8,9,35.5,10,1.3,24,5.8,1,6,7,4,0.77,74.3,No Risk
186,31,Healthcare,Medical Researcher,9.0,7,5.5,3,9,4,52.6,8,4.3,12,5.7,2,7,6,4,0.34,78.2,No Risk
187,24,Legal,Paralegal,3.6,8,4.7,3,7,5,58.5,11,3.8,11,8.1,0,6,6,6,0.51,79.8,No Risk
188,28,Healthcare,Physician,3.1,2,3.4,1,7,6,40.5,9,1.7,13,7.6,3,6,9,2,0.31,67.2,No Risk
189,39,Healthcare,Nurse,14.4,3,2.6,1,5,4,35.2,5,2.9,15,6.5,6,5,7,3,0.49,60.8,No Risk
190,29,Technology,Software Engineer,6.1,2,3.7,1,7,5,54.6,4,2.6,18,6.0,4,8,5,6,0.64,51.4,At Risk
191,33,Technology,DevOps Engineer,12.7,9,6.2,3,10,5,45.1,9,3.1,22,5.0,4,8,7,6,0.73,76.1,At Risk
192,22,Legal,Lawyer,0.0,0,0.6,0,3,10,39.4,8,2.7,12,5.8,1,8,4,4,0.71,53.8,At Risk
193,36,Creative,Brand Strategist,12.8,5,3.1,2,10,6,32.0,9,2.8,14,6.7,6,4,7,3,0.53,82.7,No Risk
194,35,Healthcare,Health Admin,11.0,4,3.2,2,5,2,42.9,11,4.4,9,5.7,4,2,9,3,0.04,80.7,No Risk
195,29,Finance,Financial Analyst,8.9,5,1.7,1,6,6,39.9,9,2.1,16,5.1,4,7,5,4,0.52,58.4,At Risk
196,33,Finance,Portfolio Manager,11.7,4,3.2,2,9,4,32.6,10,2.2,14,5.8,7,3,9,4,0.79,78.3,No Risk
197,36,Education,Academic Advisor,13.2,5,3.5,2,10,3,42.3,6,2.8,11,6.4,3,5,7,3,0.14,81.2,No Risk
198,28,Legal,Legal Analyst,5.9,4,3.1,1,6,2,55.0,3,4.7,15,5.6,3,4,6,4,0.71,72.3,No Risk
199,23,Legal,Compliance Manager,2.7,7,3.0,2,10,7,49.7,11,4.1,8,6.9,3,7,10,3,0.74,84.1,No Risk
